train_seed,test_seed,model,TP,FP,FN,TN,Precision,Recall,F1,FPR
42,100,Rule,267,0,33,1700,1.0,0.89,0.9417989417989417,0.0
42,100,MAD,33,0,267,1700,1.0,0.11,0.19819819819819817,0.0
42,100,IF_OOS,64,274,236,1426,0.1893491124260355,0.21333333333333335,0.20062695924764892,0.16117647058823528
42,100,LOF_OOS,112,186,188,1514,0.37583892617449666,0.37333333333333335,0.3745819397993311,0.10941176470588235
42,100,Hybrid,300,0,0,1700,1.0,1.0,1.0,0.0
43,101,Rule,267,0,33,1700,1.0,0.89,0.9417989417989417,0.0
43,101,MAD,33,0,267,1700,1.0,0.11,0.19819819819819817,0.0
43,101,IF_OOS,80,208,220,1492,0.2777777777777778,0.26666666666666666,0.27210884353741494,0.1223529411764706
43,101,LOF_OOS,102,230,198,1470,0.3072289156626506,0.34,0.3227848101265823,0.13529411764705881
43,101,Hybrid,300,0,0,1700,1.0,1.0,1.0,0.0
44,102,Rule,267,0,33,1700,1.0,0.89,0.9417989417989417,0.0
44,102,MAD,33,0,267,1700,1.0,0.11,0.19819819819819817,0.0
44,102,IF_OOS,89,245,211,1455,0.26646706586826346,0.2966666666666667,0.28075709779179814,0.14411764705882352
44,102,LOF_OOS,109,240,191,1460,0.3123209169054441,0.36333333333333334,0.3359013867488444,0.1411764705882353
44,102,Hybrid,300,0,0,1700,1.0,1.0,1.0,0.0
45,103,Rule,267,0,33,1700,1.0,0.89,0.9417989417989417,0.0
45,103,MAD,33,0,267,1700,1.0,0.11,0.19819819819819817,0.0
45,103,IF_OOS,66,231,234,1469,0.2222222222222222,0.22,0.22110552763819094,0.13588235294117648
45,103,LOF_OOS,100,188,200,1512,0.3472222222222222,0.3333333333333333,0.34013605442176864,0.11058823529411765
45,103,Hybrid,300,0,0,1700,1.0,1.0,1.0,0.0
46,104,Rule,267,0,33,1700,1.0,0.89,0.9417989417989417,0.0
46,104,MAD,33,0,267,1700,1.0,0.11,0.19819819819819817,0.0
46,104,IF_OOS,100,225,200,1475,0.3076923076923077,0.3333333333333333,0.32,0.1323529411764706
46,104,LOF_OOS,124,231,176,1469,0.3492957746478873,0.41333333333333333,0.3786259541984733,0.13588235294117648
46,104,Hybrid,300,0,0,1700,1.0,1.0,1.0,0.0
47,105,Rule,267,0,33,1700,1.0,0.89,0.9417989417989417,0.0
47,105,MAD,33,0,267,1700,1.0,0.11,0.19819819819819817,0.0
47,105,IF_OOS,72,238,228,1462,0.23225806451612904,0.24,0.2360655737704918,0.14
47,105,LOF_OOS,138,212,162,1488,0.3942857142857143,0.46,0.4246153846153846,0.12470588235294118
47,105,Hybrid,300,0,0,1700,1.0,1.0,1.0,0.0
48,106,Rule,267,0,33,1700,1.0,0.89,0.9417989417989417,0.0
48,106,MAD,33,0,267,1700,1.0,0.11,0.19819819819819817,0.0
48,106,IF_OOS,92,198,208,1502,0.31724137931034485,0.30666666666666664,0.31186440677966104,0.11647058823529412
48,106,LOF_OOS,129,182,171,1518,0.41479099678456594,0.43,0.42225859247135844,0.10705882352941176
48,106,Hybrid,300,0,0,1700,1.0,1.0,1.0,0.0
49,107,Rule,267,0,33,1700,1.0,0.89,0.9417989417989417,0.0
49,107,MAD,33,0,267,1700,1.0,0.11,0.19819819819819817,0.0
49,107,IF_OOS,66,244,234,1456,0.2129032258064516,0.22,0.21639344262295085,0.14352941176470588
49,107,LOF_OOS,114,250,186,1450,0.3131868131868132,0.38,0.3433734939759036,0.14705882352941177
49,107,Hybrid,300,0,0,1700,1.0,1.0,1.0,0.0
50,108,Rule,267,0,33,1700,1.0,0.89,0.9417989417989417,0.0
50,108,MAD,33,0,267,1700,1.0,0.11,0.19819819819819817,0.0
50,108,IF_OOS,78,197,222,1503,0.28363636363636363,0.26,0.2713043478260869,0.11588235294117646
50,108,LOF_OOS,113,209,187,1491,0.35093167701863354,0.37666666666666665,0.3633440514469453,0.12294117647058823
50,108,Hybrid,300,0,0,1700,1.0,1.0,1.0,0.0
51,109,Rule,267,0,33,1700,1.0,0.89,0.9417989417989417,0.0
51,109,MAD,33,0,267,1700,1.0,0.11,0.19819819819819817,0.0
51,109,IF_OOS,99,217,201,1483,0.31329113924050633,0.33,0.32142857142857145,0.12764705882352942
51,109,LOF_OOS,128,277,172,1423,0.3160493827160494,0.4266666666666667,0.36312056737588655,0.16294117647058823
51,109,Hybrid,300,0,0,1700,1.0,1.0,1.0,0.0
